timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559117579966,1647,yandex.ru,200,Ok,Thread Group 1-1,text,true,,120366,338,7,7,https://yandex.ru/,737,0,306
1559117580660,1632,yandex.ru,200,Ok,Thread Group 1-6,text,true,,122594,338,7,7,https://yandex.ru/,751,0,236
1559117580521,1908,yandex.ru,200,Ok,Thread Group 1-5,text,true,,123059,338,7,7,https://yandex.ru/,685,0,291
1559117580097,2411,yandex.ru,200,Ok,Thread Group 1-2,text,true,,123954,338,7,7,https://yandex.ru/,1066,0,543
1559117580378,2506,yandex.ru,200,Ok,Thread Group 1-4,text,true,,124392,338,7,7,https://yandex.ru/,1011,0,539
1559117580806,2267,yandex.ru,200,Ok,Thread Group 1-7,text,true,,123725,338,7,7,https://yandex.ru/,1066,0,575
1559117580229,3818,yandex.ru,200,Ok,Thread Group 1-3,text,true,,123242,338,7,7,https://yandex.ru/,2191,0,1591
1559117583778,1092,click a random link,200,OK,Thread Group 1-1,text,true,,47717,1301,7,7,https://yandex.ru/images/?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,214,0,174
1559117583778,214,click a random link-0,302,Found,Thread Group 1-1,text,true,,515,650,7,7,https://yandex.ru/images?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,214,0,174
1559117583993,877,click a random link-1,200,OK,Thread Group 1-1,text,true,,47202,651,7,7,https://yandex.ru/images/?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,564,0,0
1559117577860,2739,script,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,168083,1639,7,7,null,951,4277,480
1559117584400,1124,click a random link,200,OK,Thread Group 1-6,text,true,,47328,1301,6,6,https://yandex.ru/images/?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,234,0,201
1559117584400,234,click a random link-0,302,Found,Thread Group 1-6,text,true,,515,650,6,6,https://yandex.ru/images?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,234,0,201
1559117584634,890,click a random link-1,200,OK,Thread Group 1-6,text,true,,46813,651,6,6,https://yandex.ru/images/?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,466,0,0
1559117578559,2756,script,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,169922,1639,6,6,null,985,4213,437
1559117584540,1403,click a random link,200,OK,Thread Group 1-5,text,true,,45080,1199,5,5,https://music.yandex.ru,521,0,453
1559117584540,521,click a random link-0,302,Found,Thread Group 1-5,,true,,415,649,5,5,https://yandex.ru/music?stream_active=category&stream_channel=default&stream_category=film&from_block=video-tabs&from=morda,521,0,453
